userID,ItemID,rating
0,0,3
0,1,2
0,2,3
0,3,4
0,4,5
0,5,5
0,6,5
0,7,5
0,8,1
0,9,1
0,10,4
0,11,5
0,12,4
0,13,2
0,14,3
0,15,5
0,16,2
0,17,1
0,18,4
0,19,5
1,0,4
1,1,1
1,2,5
1,3,5
1,4,5
1,5,5
1,6,5
1,7,3
1,8,2
1,9,2
1,10,2
1,11,2
1,12,1
1,13,4
1,14,4
1,15,5
1,16,4
1,17,3
1,18,4
1,19,5
2,0,5
2,1,5
2,2,2
2,3,2
2,4,3
2,5,4
2,6,4
2,7,1
2,8,1
2,9,2
2,10,1
2,11,1
2,12,2
2,13,3
2,14,4
2,15,4
2,16,5
2,17,4
2,18,5
2,19,3
3,0,2
3,1,1
3,2,1
3,3,5
3,4,4
3,5,5
3,6,5
3,7,5
3,8,1
3,9,1
3,10,4
3,11,5
3,12,5
3,13,5
3,14,4
3,15,3
3,16,2
3,17,1
3,18,2
3,19,2
4,0,3
4,1,3
4,2,1
4,3,4
4,4,5
4,5,5
4,6,3
4,7,5
4,8,1
4,9,1
4,10,5
4,11,5
4,12,4
4,13,2
4,14,2
4,15,5
4,16,2
4,17,2
4,18,4
4,19,5
5,0,1
5,1,5
5,2,2
5,3,4
5,4,4
5,5,2
5,6,2
5,7,4
5,8,1
5,9,1
5,10,3
5,11,4
5,12,2
5,13,2
5,14,2
5,15,5
5,16,1
5,17,3
5,18,5
5,19,3
6,0,5
6,1,1
6,2,5
6,3,2
6,4,2
6,5,2
6,6,4
6,7,2
6,8,3
6,9,3
6,10,2
6,11,2
6,12,2
6,13,2
6,14,4
6,15,3
6,16,5
6,17,5
6,18,4
6,19,2
7,0,3
7,1,4
7,2,3
7,3,2
7,4,1
7,5,2
7,6,3
7,7,2
7,8,4
7,9,5
7,10,2
7,11,1
7,12,2
7,13,3
7,14,2
7,15,4
7,16,3
7,17,5
7,18,2
7,19,3
8,0,5
8,1,4
8,2,4
8,3,3
8,4,2
8,5,4
8,6,4
8,7,2
8,8,2
8,9,1
